,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
AZE,2018,12.050000000000002,11.410000000000002,12.050000000000002,13.089999999999998,10.14,11.63,11.92,11.92,11.92,12.78
AZE,2019,10.11,9.47,10.11,11.14,8.94,9.69,9.98,9.98,9.98,10.83
AZE,2020,8.84,8.2,8.84,9.87,7.67,8.42,8.71,8.71,8.71,9.56
AZE,2021,9.22,8.59,9.22,10.25,8.06,8.81,9.1,9.1,9.1,9.95
AZE,2022,12.18,11.53,12.18,13.21,11.01,11.76,12.05,12.05,12.05,12.9
AZE,2023,12.07,11.43,12.07,13.1,10.91,11.65,11.94,11.94,11.94,12.8
BEL,2015,6.66,7.470000000000001,8.07,9.05,7.680000000000001,6.97,7.949999999999999,7.949999999999999,6.54,8.05
BEL,2016,6.29,7.1,7.7,8.68,7.31,6.6,7.58,7.58,6.17,7.68
BEL,2017,6.3,7.1,7.7,8.67,7.31,6.61,7.58,7.58,6.18,7.68
BEL,2018,7.07,7.88,8.48,9.45,8.09,7.38,8.36,8.36,6.95,7.760000000000001
BEL,2019,6.790000000000001,6.889999999999999,7.49,8.46,7.1,6.4,7.37,7.37,5.97,6.769999999999999
BEL,2020,5.67,5.77,6.37,7.34,5.98,5.28,6.25,6.25,4.85,5.65
BEL,2021,6.02,6.12,6.72,7.69,6.330000000000001,5.62,6.599999999999999,6.599999999999999,5.19,6.0
BEL,2022,7.97,8.07,8.67,9.65,8.28,6.87,8.55,8.55,7.15,7.95
BEL,2023,8.36,8.46,9.06,10.04,8.67,7.26,8.94,8.94,7.54,8.34
BEN,2018,13.07,12.47,13.07,14.03,12.68,12.68,12.949999999999998,12.949999999999998,12.949999999999998,13.74
BEN,2019,11.64,11.04,11.64,12.6,11.25,11.25,11.52,11.52,11.52,12.31
BEN,2020,10.33,9.74,10.33,11.29,9.95,9.95,10.22,10.22,10.22,11.01
BEN,2021,9.79,9.2,9.79,10.74,9.4,9.4,9.67,9.67,9.67,10.46
BEN,2022,14.41,13.82,14.41,15.38,14.02,14.02,14.3,14.3,14.3,15.09
BEN,2023,13.73,13.14,13.73,14.69,13.34,13.34,13.61,13.61,13.61,14.41
BFA,2015,17.36,16.72,17.36,18.39,15.449999999999998,16.94,17.23,17.23,17.23,18.08
BFA,2016,16.84,16.2,16.84,17.87,14.94,16.43,16.72,16.72,16.72,17.57
BFA,2017,12.74,12.13,12.74,13.73,10.92,12.34,12.62,12.62,12.62,13.429999999999998
BFA,2018,14.660000000000002,14.050000000000002,14.660000000000002,15.65,12.83,12.83,14.54,14.54,14.54,15.36
BFA,2019,11.86,11.25,11.86,12.85,10.04,10.04,11.74,11.74,11.74,12.55
BFA,2020,10.54,9.93,10.54,11.52,8.72,8.72,10.42,10.42,10.42,11.23
BFA,2021,10.9,10.3,10.9,11.88,9.09,9.09,10.78,10.78,10.78,11.589999999999998
BFA,2022,19.74,19.11,19.74,20.75,17.86,17.86,19.61,19.61,19.61,20.45
BFA,2023,18.19,17.57,18.19,19.2,16.33,16.33,18.07,18.07,18.07,18.9
BGD,2015,12.56,11.94,12.56,13.55,12.16,12.16,12.43,12.43,12.43,13.25
BGD,2016,12.12,11.5,12.12,13.11,11.72,11.72,12.0,12.0,12.0,12.82
BGD,2017,10.679999999999998,10.070000000000002,10.679999999999998,11.65,10.28,10.28,10.56,10.56,10.56,11.36
BGD,2018,12.13,11.53,12.13,13.11,11.74,11.74,12.01,12.01,12.01,12.82
BGD,2019,10.06,9.46,10.06,11.04,9.67,9.67,9.94,9.94,9.94,10.75
BGD,2020,8.83,8.23,8.83,9.8,8.44,8.44,8.71,8.71,8.71,9.51
BGD,2021,9.19,8.59,9.19,10.16,8.8,8.8,9.07,9.07,9.07,9.87
BGD,2022,13.22,12.61,13.22,14.19,12.82,12.82,13.1,13.1,13.1,13.9
BGD,2023,14.01,13.4,14.01,14.99,13.61,13.61,13.89,13.89,13.89,14.7
BGR,2015,11.25,10.55,11.25,12.37,9.17,10.79,11.11,11.11,11.11,12.04
BGR,2016,10.82,10.12,10.82,11.94,8.74,9.55,10.68,10.68,9.86,11.6
BGR,2017,10.24,9.540000000000001,10.24,11.36,8.17,8.98,10.1,10.1,9.290000000000001,11.02
BGR,2018,10.61,10.729999999999999,11.42,12.54,9.35,10.97,11.28,11.28,11.28,12.21
BGR,2019,8.99,9.1,9.79,10.91,7.720000000000001,8.53,9.66,9.66,8.85,10.58
BGR,2020,7.37,7.49,8.18,9.3,6.11,6.92,8.04,8.04,7.23,8.97
BGR,2021,7.8,7.91,8.6,9.72,6.54,7.34,8.46,8.46,7.66,9.39
BGR,2022,10.74,10.85,11.55,12.67,9.48,10.29,11.41,11.41,11.41,12.33
BGR,2023,10.94,11.06,11.75,12.87,9.68,9.68,11.61,11.61,10.8,12.53
BHR,2015,13.96,13.21,13.96,15.17,13.47,13.47,13.81,13.81,13.81,14.809999999999999
BHR,2016,13.48,12.73,13.48,14.69,12.99,12.99,13.33,13.33,13.33,14.33
BHR,2017,14.19,13.44,14.19,15.4,13.7,13.7,14.040000000000001,14.040000000000001,14.040000000000001,15.040000000000001
BHR,2018,17.63,16.88,17.63,18.84,17.14,17.14,17.48,17.48,17.48,18.48
BHR,2019,14.34,13.59,14.34,15.55,13.85,13.85,14.190000000000001,14.190000000000001,14.190000000000001,15.190000000000001
