,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
GHA,2015,17.6,16.95,17.6,18.65,15.66,17.18,17.47,17.47,17.47,18.34
GHA,2016,17.08,16.43,17.08,18.13,15.15,16.66,16.95,16.95,16.95,17.82
GHA,2017,14.1,13.48,14.1,15.12,12.23,13.69,13.98,13.98,13.98,14.820000000000002
GHA,2018,16.3,15.67,16.3,17.32,14.42,15.89,16.18,16.18,16.18,17.02
GHA,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,11.19,12.65,12.930000000000001,12.930000000000001,12.930000000000001,13.77
GHA,2020,11.67,11.05,11.67,12.68,9.8,11.26,11.54,11.54,11.54,12.38
GHA,2021,12.050000000000002,11.43,12.050000000000002,13.06,10.19,11.64,11.93,11.93,11.93,12.76
GHA,2022,28.1,27.44,28.1,29.17,26.12,27.67,27.97,27.97,27.97,28.85
GHA,2023,22.15,21.5,22.15,23.19,20.22,21.72,22.02,22.02,22.02,22.88
GIN,2015,21.54,20.87,21.54,22.61,19.55,21.1,21.41,21.41,21.41,22.29
GIN,2016,20.96,20.3,20.96,22.04,18.98,20.53,20.83,20.83,20.83,21.72
GIN,2017,16.95,16.31,16.95,17.98,15.040000000000001,16.53,16.82,16.82,16.82,17.68
GIN,2018,24.13,23.47,24.13,25.19,22.17,23.7,24.0,24.0,24.0,24.87
GIN,2019,16.53,15.89,16.53,17.57,14.62,16.11,16.4,16.4,16.4,17.26
GIN,2020,16.91,16.26,16.91,17.95,14.98,16.49,16.78,16.78,16.78,17.64
GIN,2021,14.410000000000002,13.78,14.410000000000002,15.43,12.520000000000001,14.0,14.28,14.28,14.28,15.13
GIN,2022,22.69,22.04,22.69,23.73,20.76,22.27,22.56,22.56,22.56,23.42
GIN,2023,20.68,20.04,20.68,21.71,18.76,20.26,20.55,20.55,20.55,21.41
GMB,2015,14.49,13.86,14.49,15.5,14.08,14.08,14.360000000000001,14.360000000000001,14.360000000000001,15.199999999999998
GMB,2016,14.02,13.39,14.02,15.03,13.61,13.61,13.89,13.89,13.89,14.73
GMB,2017,16.73,16.1,16.73,17.75,16.32,16.32,16.61,16.61,16.61,17.45
GMB,2018,16.08,15.449999999999998,16.08,17.08,15.67,15.67,15.949999999999998,15.949999999999998,15.949999999999998,16.78
GMB,2019,12.87,12.25,12.87,13.87,12.47,12.47,12.75,12.75,12.75,13.569999999999999
GMB,2020,11.5,10.88,11.5,12.49,11.1,11.1,11.37,11.37,11.37,12.19
GMB,2021,10.949999999999998,10.34,10.949999999999998,11.93,10.55,10.55,10.83,10.83,10.83,11.64
GMB,2022,16.41,15.79,16.41,17.4,16.0,16.0,16.28,16.28,16.28,17.11
GMB,2023,14.07,13.46,14.07,15.06,13.67,13.67,13.95,13.95,13.95,14.76
GNB,2015,13.38,12.75,13.38,14.389999999999999,12.96,12.96,13.25,13.25,13.25,14.09
GNB,2016,12.92,12.29,12.92,13.94,12.51,12.51,12.8,12.8,12.8,13.64
GNB,2017,14.1,13.48,14.1,15.12,13.69,13.69,13.98,13.98,13.98,14.820000000000002
GNB,2018,17.68,17.04,17.68,18.7,17.26,17.26,17.55,17.55,17.55,18.4
GNB,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,12.65,12.65,12.930000000000001,12.930000000000001,12.930000000000001,13.77
GNB,2020,12.59,11.97,12.59,13.61,12.18,12.18,12.47,12.47,12.47,13.31
GNB,2021,12.050000000000002,11.43,12.050000000000002,13.06,11.64,11.64,11.93,11.93,11.93,12.76
GNB,2022,18.34,17.7,18.34,19.36,17.92,17.92,18.21,18.21,18.21,19.05
GNB,2023,15.68,15.05,15.68,16.69,15.27,15.27,15.55,15.55,15.55,16.39
GRC,2015,24.05,23.37,24.05,25.15,22.01,22.01,23.91,23.91,22.32,24.03
GRC,2016,23.44,22.76,23.44,24.54,21.4,21.4,23.3,23.3,21.71,23.42
GRC,2017,17.28,16.63,17.28,18.330000000000002,15.34,15.34,17.15,17.15,15.63,16.5
GRC,2018,16.64,15.99,16.64,17.68,14.71,14.71,16.51,16.51,15.01,15.87
GRC,2019,11.38,10.75,11.38,12.41,9.49,9.49,11.26,11.26,9.78,10.62
GRC,2020,9.24,8.61,9.24,10.26,7.36,7.36,9.11,9.11,7.64,8.48
GRC,2021,9.62,8.99,9.62,10.64,7.739999999999999,7.739999999999999,9.49,9.49,8.02,8.86
GRC,2022,13.79,13.15,13.79,14.81,11.89,11.89,13.66,13.66,12.18,13.03
GRC,2023,11.87,11.25,11.87,12.89,10.0,10.0,11.75,11.75,10.28,11.12
GTM,2015,9.57,10.39,11.01,12.01,9.16,10.61,10.89,10.89,10.89,11.71
GTM,2016,9.15,9.98,10.59,11.59,8.75,10.19,10.47,10.47,10.47,11.3
GTM,2017,8.28,9.1,9.709999999999999,10.69,7.88,9.31,9.59,9.59,9.59,10.4
GTM,2018,9.5,10.31,10.92,11.910000000000002,9.1,10.53,10.800000000000002,10.800000000000002,10.800000000000002,11.62
GTM,2019,7.81,8.63,9.24,10.22,7.409999999999999,8.84,9.12,9.12,9.12,9.93
GTM,2020,6.61,7.43,8.04,9.02,6.22,7.64,7.91,7.91,7.91,8.73
GTM,2021,6.97,7.79,8.4,9.38,6.580000000000001,8.0,8.27,8.27,8.27,9.09
GTM,2022,10.27,11.09,11.7,12.69,9.87,11.3,11.58,11.58,11.58,12.4
GTM,2023,10.15,10.97,11.58,12.57,9.75,11.18,11.46,11.46,11.46,12.27
GUY,2015,13.38,12.75,13.38,14.389999999999999,12.96,12.96,13.25,13.25,13.25,14.09
GUY,2016,12.92,12.29,12.92,13.94,12.51,12.51,12.8,12.8,12.8,13.64
GUY,2017,10.89,10.28,10.89,11.89,10.49,10.49,10.77,10.77,10.77,11.59
GUY,2018,13.58,12.96,13.58,14.58,13.17,13.17,13.449999999999998,13.449999999999998,13.449999999999998,14.28
GUY,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,12.65,12.65,12.930000000000001,12.930000000000001,12.930000000000001,13.77
GUY,2020,10.75,10.13,10.75,11.75,10.34,10.34,10.62,10.62,10.62,11.45
GUY,2021,10.2,9.59,10.2,11.199999999999998,9.8,9.8,10.08,10.08,10.08,10.9
GUY,2022,10.25,9.64,10.25,11.23,9.85,9.85,10.13,10.13,10.13,10.94
GUY,2023,10.37,9.77,10.37,11.35,9.98,9.98,10.25,10.25,10.25,11.06
HKG,2015,8.33,7.67,8.33,9.38,7.900000000000001,7.900000000000001,8.2,8.2,8.2,9.07
HKG,2016,7.95,7.29,7.95,9.0,7.52,7.52,7.81,7.81,7.81,8.69
HKG,2017,8.17,7.5200000000000005,8.17,9.22,7.74,7.74,8.04,8.04,8.04,8.91
HKG,2018,8.97,8.31,8.97,10.02,8.54,8.54,8.84,8.84,8.84,9.71
HKG,2019,7.959999999999999,7.3,7.959999999999999,9.01,7.529999999999999,7.529999999999999,7.82,7.82,7.82,8.69
HKG,2020,6.85,6.2,6.85,7.91,6.43,6.43,6.72,6.72,6.72,7.59
HKG,2021,7.239999999999999,6.59,7.239999999999999,8.29,6.81,6.81,7.11,7.11,7.11,7.98
HKG,2022,9.32,8.67,9.32,10.38,8.9,8.9,9.19,9.19,9.19,10.06
HKG,2023,9.77,9.12,9.77,10.82,9.34,9.34,9.64,9.64,9.64,10.51
HND,2015,13.98,14.809999999999999,15.43,16.43,13.58,14.300000000000002,15.309999999999999,15.309999999999999,13.86,15.41
HND,2016,13.5,14.33,14.95,15.95,13.1,13.1,14.82,14.82,13.38,14.93
HND,2017,10.03,10.820000000000002,11.42,12.37,9.65,9.65,11.3,11.3,10.61,11.4
HND,2018,11.68,12.47,13.07,14.03,11.29,11.29,12.949999999999998,12.949999999999998,11.56,13.050000000000002
HND,2019,9.31,10.1,10.7,11.65,8.93,8.93,10.58,10.58,9.19,10.68
HND,2020,8.07,8.85,9.44,10.4,7.68,7.68,9.33,9.33,7.95,9.42
HND,2021,8.41,8.51,9.1,10.05,8.03,8.03,8.98,8.98,8.3,9.77
HND,2022,13.02,13.82,14.41,15.38,12.63,12.63,14.3,14.3,12.9,14.39
HND,2023,12.34,13.14,13.73,14.69,11.95,11.95,13.61,13.61,12.22,13.71
HRV,2015,12.42,11.76,12.42,13.48,10.45,11.99,12.29,12.29,10.75,12.4
HRV,2016,11.21,11.32,11.97,13.04,10.01,11.54,11.84,11.84,10.31,11.95
HRV,2017,10.08,10.19,10.84,11.89,8.9,10.42,10.709999999999999,10.709999999999999,9.19,10.06
HRV,2018,11.479999999999999,11.589999999999998,12.24,13.29,10.29,11.81,12.11,12.11,10.59,12.22
HRV,2019,8.75,9.62,10.27,11.32,8.32,9.84,10.14,10.14,8.62,9.49
HRV,2020,7.0,7.86,8.51,9.56,6.57,8.09,8.38,8.38,6.87,7.73
HRV,2021,7.39,8.25,8.9,9.95,6.97,8.48,8.77,8.77,7.260000000000001,8.12
HRV,2022,9.85,10.72,11.36,12.41,9.43,10.94,11.23,11.23,9.72,10.59
HRV,2023,9.92,10.78,11.43,12.48,9.5,11.01,11.3,11.3,9.79,10.65
HTI,2015,17.28,16.65,17.28,18.3,15.399999999999999,16.87,17.16,17.16,17.16,18.0
HTI,2016,16.77,16.14,16.77,17.79,14.89,16.36,16.64,16.64,16.64,17.48
HTI,2017,14.7,14.1,14.7,15.69,12.89,14.31,14.58,14.58,14.58,15.39
HTI,2018,19.19,18.57,19.19,20.19,17.34,18.78,19.07,19.07,19.07,19.89
HTI,2019,15.029999999999998,14.41,15.029999999999998,16.02,13.190000000000001,14.63,14.91,14.91,14.91,15.73
HTI,2020,16.4,15.78,16.4,17.41,14.54,15.99,16.28,16.28,16.28,17.11
HTI,2021,14.85,14.229999999999999,14.85,15.839999999999998,13.020000000000001,14.449999999999998,14.729999999999999,14.729999999999999,14.729999999999999,15.54
HTI,2022,27.42,26.77,27.42,28.46,25.49,26.99,27.29,27.29,27.29,28.15
HTI,2023,21.47,20.85,21.47,22.48,19.6,21.07,21.35,21.35,21.35,22.18
HUN,2015,10.69,11.63,12.33,13.46,11.87,11.87,12.19,12.19,12.19,13.13
HUN,2016,10.24,11.18,11.88,13.02,11.42,11.42,11.74,11.74,11.74,12.68
HUN,2017,9.03,9.959999999999999,10.66,11.790000000000001,10.209999999999999,10.209999999999999,10.52,10.52,10.52,11.45
HUN,2018,10.3,11.229999999999999,11.93,13.06,11.47,11.47,11.79,11.79,11.79,12.72
HUN,2019,8.54,9.47,10.17,11.3,9.71,8.9,10.03,10.03,10.03,10.96
HUN,2020,7.2,8.13,8.83,9.96,8.37,6.74,8.69,8.69,8.69,9.62
HUN,2021,7.34,8.27,8.97,10.1,8.51,6.88,8.83,8.83,8.83,9.76
HUN,2022,11.35,11.47,12.17,13.3,11.71,10.08,12.03,12.03,12.03,12.96
HUN,2023,11.46,11.58,12.28,13.41,11.82,10.19,12.14,12.14,12.14,13.07
IDN,2015,10.05,9.42,10.05,11.07,9.64,10.37,9.92,9.92,10.66,11.5
IDN,2016,9.63,9.0,9.63,10.66,8.48,9.96,9.51,9.51,10.25,11.09
IDN,2017,8.9,8.27,8.9,9.91,7.76,9.22,8.77,8.77,9.5,10.34
IDN,2018,9.67,9.05,9.67,10.68,8.53,10.0,9.55,9.55,10.28,11.11
IDN,2019,8.18,7.55,8.18,9.19,7.040000000000001,8.5,8.05,8.05,8.78,9.62
IDN,2020,6.97,6.35,6.97,7.98,5.84,7.29,6.85,6.85,7.58,8.41
IDN,2021,7.34,6.72,7.34,8.35,6.21,7.66,7.22,7.22,7.95,8.78
IDN,2022,9.54,9.65,10.28,11.29,9.13,10.6,10.15,10.15,10.88,11.72
IDN,2023,9.6,9.7,10.33,11.34,9.19,10.65,10.2,10.2,10.93,11.77
IMN,2015,9.43,8.68,9.43,10.64,8.94,8.94,9.28,9.28,9.28,10.28
IMN,2016,9.01,8.26,9.01,10.22,8.52,8.52,8.86,8.86,8.86,9.86
IMN,2017,9.290000000000001,8.54,9.290000000000001,10.5,8.8,8.8,9.14,9.14,9.14,10.14
IMN,2018,10.18,9.43,10.18,11.39,9.69,9.69,10.03,10.03,10.03,11.03
IMN,2019,9.04,8.29,9.04,10.25,8.55,8.55,8.89,8.89,8.89,9.89
IMN,2020,7.79,7.04,7.79,9.0,7.3,7.3,7.64,7.64,7.64,8.64
IMN,2021,8.25,7.5,8.25,9.46,7.760000000000001,7.760000000000001,8.1,8.1,8.1,9.1
IMN,2022,10.58,9.83,10.58,11.79,10.09,10.09,10.43,10.43,10.43,11.43
IMN,2023,11.14,10.39,11.14,12.35,10.65,10.65,10.99,10.99,10.99,11.99
IND,2015,10.14,9.55,10.14,11.09,8.38,9.76,10.02,10.02,10.02,10.81
IND,2016,9.74,9.15,9.74,10.7,7.98,9.36,9.63,9.63,8.94,10.41
IND,2017,8.68,8.1,8.68,9.62,6.95,8.31,8.57,8.57,7.89,9.34
IND,2018,9.72,9.14,9.72,10.66,7.989999999999999,9.35,9.61,9.61,8.93,10.38
IND,2019,8.32,7.74,8.32,9.25,6.58,7.94,8.2,8.2,7.519999999999999,8.97
IND,2020,7.44,6.86,7.44,8.38,5.71,6.39,7.32,7.32,6.65,8.1
IND,2021,7.78,7.2,7.78,8.71,6.04,6.72,7.66,7.66,6.98,8.43
IND,2022,10.75,10.16,10.75,11.69,9.0,9.69,10.63,10.63,9.95,11.41
IND,2023,10.69,10.1,10.69,11.62,8.95,9.63,10.57,10.57,9.89,11.35
IRL,2015,9.91,9.23,9.91,11.0,9.46,9.46,9.77,9.77,8.19,9.09
IRL,2016,9.5,8.82,9.5,10.59,9.05,9.05,9.36,9.36,7.77,8.68
IRL,2017,8.84,8.16,8.84,9.929999999999998,8.4,8.4,8.7,8.7,7.13,8.03
IRL,2018,9.75,9.07,9.75,10.839999999999998,9.3,9.3,9.61,9.61,8.03,8.93
IRL,2019,8.57,7.889999999999999,8.57,9.66,8.12,8.12,8.43,8.43,6.85,7.75
IRL,2020,7.31,6.64,7.31,8.4,6.87,6.87,7.18,7.18,5.6,6.5
IRL,2021,6.93,7.04,7.72,8.81,7.28,7.28,7.580000000000001,7.580000000000001,6.0,6.91
IRL,2022,9.02,9.13,9.81,10.9,9.36,9.36,9.67,9.67,8.09,8.99
IRL,2023,9.31,9.42,10.1,11.19,9.66,9.66,9.97,9.97,8.39,9.29
IRN,2015,12.08,11.46,12.08,13.09,10.94,11.67,11.95,11.95,11.95,12.79
IRN,2016,11.65,11.02,11.65,12.65,10.51,11.24,11.52,11.52,11.52,12.35
IRN,2017,9.07,8.46,9.07,10.05,7.96,8.67,8.95,8.95,8.95,9.76
IRN,2018,11.589999999999998,10.97,11.589999999999998,12.58,10.47,11.19,11.46,11.46,11.46,12.28
IRN,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,11.19,12.65,12.930000000000001,12.930000000000001,12.930000000000001,13.77
IRN,2020,14.02,13.38,14.02,15.04,12.12,13.6,13.89,13.89,13.89,14.74
IRN,2021,12.050000000000002,11.43,12.050000000000002,13.06,10.92,11.64,11.93,11.93,11.93,12.76
IRN,2022,14.97,14.35,14.97,15.98,14.56,14.56,14.84,14.84,14.84,15.68
IRN,2023,17.08,16.45,17.08,18.1,15.94,16.67,16.96,16.96,16.96,17.8
IRQ,2015,18.58,17.89,18.58,19.69,17.32,18.13,18.44,18.44,18.44,19.36
IRQ,2016,18.04,17.35,18.04,19.16,16.79,17.59,17.91,17.91,17.91,18.82
IRQ,2017,16.28,15.6,16.28,17.37,15.83,15.83,16.14,16.14,16.14,17.05
IRQ,2018,18.84,18.16,18.84,19.94,18.4,18.4,18.71,18.71,18.71,19.61
IRQ,2019,15.0,14.319999999999999,15.0,16.09,13.76,14.559999999999999,14.86,14.86,14.86,15.77
IRQ,2020,13.5,12.82,13.5,14.59,12.26,13.05,13.36,13.36,13.36,14.26
IRQ,2021,13.94,13.26,13.94,15.03,12.71,13.49,13.800000000000002,13.800000000000002,13.800000000000002,14.699999999999998
IRQ,2022,21.33,20.65,21.33,22.43,20.88,20.88,21.19,21.19,21.19,22.11
IRQ,2023,19.77,19.09,19.77,20.87,19.33,19.33,19.64,19.64,19.64,20.55
ISL,2015,10.46,8.32,8.97,10.0,8.55,10.04,8.84,8.84,10.33,11.19
ISL,2016,10.05,7.91,8.55,9.59,8.14,9.63,8.43,8.43,9.92,10.78
ISL,2017,8.69,6.58,7.21,8.24,6.8,8.28,7.089999999999999,7.089999999999999,8.57,9.41
ISL,2018,9.64,7.52,8.16,9.18,7.739999999999999,9.22,8.03,8.03,9.51,10.36
ISL,2019,8.06,5.95,6.58,7.6,6.17,7.639999999999999,6.45,6.45,7.93,8.77
ISL,2020,6.88,4.77,5.4,6.42,4.99,6.46,5.27,5.27,6.75,7.59
ISL,2021,7.25,5.14,5.77,6.79,5.36,6.830000000000001,5.64,5.64,7.12,7.96
ISL,2022,9.46,7.34,7.98,9.0,7.56,9.04,7.85,7.85,9.33,10.17
ISL,2023,9.81,7.7,8.33,9.35,7.92,9.4,8.21,8.21,9.68,10.53
ISR,2015,8.36,7.739999999999999,8.36,9.36,7.96,7.96,8.24,8.24,8.24,9.06
ISR,2016,7.99,7.37,7.99,8.98,7.58,7.58,7.86,7.86,7.86,8.69
ISR,2017,7.95,7.33,7.95,8.94,7.54,7.54,7.82,7.82,7.82,8.64
ISR,2018,8.76,8.14,8.76,9.75,8.35,8.35,8.63,8.63,8.63,9.45
ISR,2019,7.720000000000001,7.1,7.720000000000001,8.71,7.32,6.6,7.590000000000001,7.590000000000001,7.590000000000001,8.41
ISR,2020,6.57,5.96,6.57,7.56,6.17,5.45,6.45,6.45,6.45,7.27
ISR,2021,6.93,6.32,6.93,7.919999999999999,6.53,5.1,6.81,6.81,6.81,7.63
ISR,2022,8.99,8.38,8.99,9.99,8.59,7.16,8.87,8.87,8.87,9.69
ISR,2023,9.36,8.75,9.36,10.36,8.96,7.53,9.24,9.24,9.24,10.06
ITA,2015,8.45,9.25,9.85,10.81,8.06,8.06,9.73,9.73,9.03,9.83
ITA,2016,8.06,8.85,9.45,10.42,7.66,7.66,9.33,9.33,7.94,9.43
ITA,2017,7.47,8.26,8.85,9.81,7.089999999999999,7.089999999999999,8.74,8.74,7.35,8.83
ITA,2018,8.9,9.7,10.29,11.25,8.52,8.52,10.17,10.17,8.78,10.27
ITA,2019,7.360000000000001,8.16,8.75,9.71,6.980000000000001,6.980000000000001,8.63,8.63,7.25,8.73
ITA,2020,6.2,6.99,7.59,8.54,5.82,5.82,7.47,7.47,6.09,7.57
ITA,2021,6.55,7.34,7.93,8.89,6.16,6.16,7.81,7.81,6.43,7.91
ITA,2022,9.56,10.35,10.95,11.91,9.17,9.17,10.83,10.83,9.44,10.93
ITA,2023,9.51,10.3,10.9,11.86,9.12,9.12,10.78,10.78,9.39,10.88
JAM,2015,21.2,21.31,21.98,23.06,20.77,21.55,21.85,21.85,21.07,22.74
JAM,2016,20.62,20.73,21.4,22.48,20.96,20.96,21.27,21.27,20.49,22.16
JAM,2017,14.1,13.48,14.1,15.12,12.959999999999999,13.69,13.98,13.98,13.25,14.08
JAM,2018,16.3,15.67,16.3,17.32,15.15,15.89,16.18,16.18,14.699999999999998,16.28
JAM,2019,12.09,11.46,12.09,13.09,10.95,11.68,11.96,11.96,11.24,12.07
JAM,2020,10.75,10.13,10.75,11.75,9.62,10.34,10.62,10.62,9.17,10.73
JAM,2021,11.12,10.5,11.12,12.12,9.99,10.72,11.0,11.0,10.28,11.1
JAM,2022,16.64,16.01,16.64,17.65,15.5,15.5,16.51,16.51,15.05,16.62
JAM,2023,14.29,13.67,14.29,15.29,13.16,13.16,14.17,14.17,12.72,14.27
JEY,2015,9.43,8.68,9.43,10.64,8.94,8.94,9.28,9.28,9.28,10.28
JEY,2016,9.01,8.26,9.01,10.22,8.52,8.52,8.86,8.86,8.86,9.86
JEY,2017,9.429999999999998,8.68,9.429999999999998,10.64,8.94,8.94,9.28,9.28,9.28,10.28
JEY,2018,10.34,9.59,10.34,11.550000000000002,9.85,9.85,10.19,10.19,10.19,11.19
JEY,2019,9.26,8.51,9.26,10.47,8.77,8.77,9.11,9.11,9.11,10.11
JEY,2020,7.17,6.42,7.17,8.38,6.68,6.68,7.02,7.02,7.02,8.02
JEY,2021,7.63,6.88,7.63,8.84,7.14,7.14,7.48,7.48,7.48,8.48
JEY,2022,9.48,8.73,9.48,10.69,8.99,8.99,9.33,9.33,9.33,10.33
JEY,2023,11.14,10.39,11.14,12.35,10.65,10.65,10.99,10.99,10.99,11.99
JOR,2015,14.71,14.06,14.71,15.770000000000001,14.279999999999998,14.279999999999998,14.58,14.58,14.58,15.46
JOR,2016,14.24,13.58,14.24,15.3,13.81,13.81,14.11,14.11,14.11,14.98
JOR,2017,12.34,11.7,12.34,13.38,11.92,11.17,12.209999999999999,12.209999999999999,12.209999999999999,13.070000000000002
JOR,2018,14.089999999999998,13.44,14.089999999999998,15.13,13.67,12.160000000000002,13.96,13.96,13.21,14.82
JOR,2019,11.56,10.91,11.56,12.6,11.14,9.63,11.43,11.43,10.68,12.29
JOR,2020,10.22,9.58,10.22,11.26,9.8,8.3,10.09,10.09,8.59,10.2
JOR,2021,10.62,9.98,10.62,11.660000000000002,10.2,8.7,10.49,10.49,8.99,10.6
JOR,2022,15.52,14.88,15.52,16.57,15.1,13.59,15.39,15.39,13.88,15.5
JOR,2023,14.85,14.2,14.85,15.89,14.43,12.92,14.72,14.72,13.21,14.83
JPN,2015,7.889999999999999,7.319999999999999,7.889999999999999,8.83,6.17,6.84,7.779999999999999,7.779999999999999,7.779999999999999,8.55
JPN,2016,7.53,6.96,7.53,8.47,5.81,6.48,7.42,7.42,7.42,8.19
JPN,2017,7.4799999999999995,6.9,7.4799999999999995,8.4,5.76,6.43,7.36,7.36,7.36,8.13
JPN,2018,8.25,7.669999999999999,8.25,9.18,6.53,7.2,8.13,8.13,8.13,8.9
JPN,2019,6.590000000000001,6.69,7.26,8.19,5.55,5.55,7.15,7.15,7.15,7.92
JPN,2020,5.52,5.61,6.19,7.11,4.47,4.47,6.07,6.07,6.07,6.84
JPN,2021,5.84,5.94,6.510000000000001,7.44,4.8,4.8,6.400000000000001,6.400000000000001,6.400000000000001,7.16
JPN,2022,7.8,7.9,8.47,9.4,6.75,6.75,8.36,8.36,8.36,9.13
JPN,2023,8.13,8.22,8.8,9.73,7.08,7.08,8.68,8.68,8.68,9.45
KAZ,2015,10.95,10.31,10.95,11.99,9.03,10.53,10.82,10.82,10.82,11.68
KAZ,2016,10.53,9.89,10.53,11.57,8.61,10.11,10.4,10.4,10.4,11.26
KAZ,2017,9.790000000000001,9.15,9.790000000000001,10.820000000000002,7.88,9.37,9.66,9.66,9.66,10.51
KAZ,2018,10.97,10.33,10.97,12.0,9.07,10.56,10.839999999999998,10.839999999999998,10.839999999999998,11.699999999999998
KAZ,2019,9.34,8.7,9.34,10.37,7.43,8.92,9.21,9.21,9.21,10.06
KAZ,2020,8.1,7.47,8.1,9.13,6.2,7.69,7.98,7.98,7.98,8.82
KAZ,2021,8.21,7.57,8.21,9.24,6.31,7.8,8.08,8.08,8.08,8.93
KAZ,2022,11.19,10.55,11.19,12.21,9.28,10.77,11.06,11.06,11.06,11.91
KAZ,2023,11.24,10.61,11.24,12.27,9.34,10.83,11.12,11.12,10.37,11.97
KEN,2015,13.07,11.75,12.36,13.35,11.96,13.39,12.24,12.24,13.66,14.479999999999999
KEN,2016,12.62,11.29,11.9,12.89,11.51,12.93,11.78,11.78,13.21,14.02
KEN,2017,10.03,9.44,10.03,10.99,9.65,11.03,9.91,9.91,11.3,12.09
KEN,2018,13.69,12.39,12.99,13.96,12.6,14.0,12.87,12.87,13.57,15.07
KEN,2019,10.94,9.64,10.24,11.21,9.85,11.25,10.12,10.12,10.12,10.92
KEN,2020,10.33,8.35,8.95,9.91,8.56,9.95,8.83,8.83,8.83,9.62
KEN,2021,10.69,8.71,9.3,10.26,8.91,10.3,9.18,9.18,9.18,9.97
KEN,2022,16.05,14.04,14.64,15.62,14.25,14.95,14.52,14.52,14.52,15.33
KEN,2023,16.47,14.45,15.06,16.04,14.66,15.37,14.94,14.94,14.94,15.75
KGZ,2015,17.35,16.64,17.35,18.49,15.24,16.88,17.2,17.2,17.2,18.15
KGZ,2016,16.83,16.12,16.83,17.97,14.72,16.37,16.69,16.69,16.69,17.63
KGZ,2017,14.44,13.74,14.44,15.570000000000002,12.36,13.99,14.3,14.3,14.3,15.24
KGZ,2018,16.55,15.85,16.55,17.68,14.46,16.09,16.41,16.41,16.41,17.34
KGZ,2019,13.440000000000001,12.74,13.440000000000001,14.569999999999999,11.35,12.98,13.3,13.3,13.3,14.23
KGZ,2020,11.98,11.28,11.98,13.11,9.9,11.53,11.84,11.84,11.84,12.77
KGZ,2021,12.44,11.74,12.44,13.56,10.35,11.979999999999999,12.300000000000002,12.300000000000002,12.300000000000002,13.229999999999999
KGZ,2022,20.18,19.48,20.18,21.32,18.08,19.72,20.04,20.04,20.04,20.98
KGZ,2023,18.93,18.22,18.93,20.06,16.83,18.47,18.78,18.78,18.78,19.72
KHM,2015,16.39,15.729999999999999,16.39,17.46,14.41,15.949999999999998,16.26,16.26,16.26,17.14
KHM,2016,15.89,15.22,15.89,16.96,13.91,15.45,15.76,15.76,15.76,16.64
KHM,2017,13.47,12.820000000000002,13.47,14.52,11.53,13.05,13.34,13.34,13.34,14.209999999999999
KHM,2018,15.47,14.82,15.47,16.52,13.53,15.04,15.339999999999998,15.339999999999998,15.339999999999998,16.21
KHM,2019,12.54,11.89,12.54,13.580000000000002,10.6,12.11,12.41,12.41,12.41,13.27
KHM,2020,11.16,10.51,11.16,12.2,9.23,9.98,11.03,11.03,11.03,11.89
KHM,2021,11.56,10.910000000000002,11.56,12.6,9.63,10.38,11.43,11.43,11.43,12.29
KHM,2022,17.23,16.57,17.23,18.28,15.28,16.04,17.1,17.1,17.1,17.97
KHM,2023,16.26,15.61,16.26,17.31,14.32,15.08,16.13,16.13,16.13,17.0
KOR,2015,7.809999999999999,7.21,7.809999999999999,8.77,7.42,7.42,7.690000000000001,7.690000000000001,7.690000000000001,8.48
KOR,2016,7.45,6.85,7.45,8.41,7.06,7.06,7.33,7.33,7.33,8.12
KOR,2017,7.49,6.89,7.49,8.44,7.1,7.1,7.37,7.37,7.37,8.16
KOR,2018,8.23,7.64,8.23,9.19,7.84,7.84,8.11,8.11,8.11,8.9
KOR,2019,7.290000000000001,6.7,7.290000000000001,8.25,6.909999999999999,6.909999999999999,7.18,7.18,7.18,7.970000000000001
KOR,2020,6.19,5.6,6.19,7.15,5.81,5.11,6.07,6.07,6.07,6.87
KOR,2021,6.53,5.94,6.53,7.489999999999999,6.150000000000001,5.45,6.419999999999999,6.419999999999999,6.419999999999999,7.21
KOR,2022,8.4,7.8,8.4,9.35,8.01,7.32,8.28,8.28,8.28,9.07
KOR,2023,8.1,8.2,8.8,9.75,8.41,7.72,8.68,8.68,8.68,9.47
KWT,2015,8.59,7.92,8.59,9.65,8.15,8.15,8.45,8.45,8.45,9.34
KWT,2016,8.2,7.53,8.2,9.27,7.76,7.76,8.06,8.06,8.06,8.95
KWT,2017,8.27,7.61,8.27,9.34,7.839999999999999,7.839999999999999,8.14,8.14,8.14,9.02
KWT,2018,9.08,8.42,9.08,10.14,8.64,8.64,8.94,8.94,8.94,9.83
KWT,2019,8.05,7.389999999999999,8.05,9.12,7.62,7.62,7.92,7.92,7.92,8.8
KWT,2020,7.03,6.37,7.03,8.1,6.6,6.6,6.9,6.9,6.9,7.78
