,iso3_code,index,onshore_wacc,offshore_wacc,solar_pv_wacc
48,CRI,49,8.312661037579117,9.312661037579117,8.98815478855104
49,CUB,50,,,
50,CPV,51,11.00710277576894,12.00710277576894,11.93623200671526
51,CUW,52,,,
52,CXR,53,,,
53,CYP,54,8.23919228899167,9.23919228899167,7.155611204933765
54,CZE,55,6.396302227202289,7.396302227202289,5.8598409522528545
55,DEU,56,3.4612320975696726,4.461232097569672,4.073390295855164
56,DJI,57,,,
57,DNK,58,1.5124645249110071,2.512464524911007,4.568477679642679
58,DMA,59,,,
59,DOM,60,8.185819764493354,9.185819764493354,8.2729835246536
60,DZA,61,9.559568340356552,10.559568340356552,9.420725206806939
61,ECU,62,14.407638508255648,15.407638508255648,14.549081324022922
62,EST,63,6.1068993405783685,7.1068993405783685,5.861494486156032
63,EGY,64,12.201264346363267,13.201264346363267,12.199829561734546
64,ESH,65,,,
65,ERI,66,,,
66,ESP,67,5.2855279348473765,6.2855279348473765,5.443792222399605
67,ETH,68,12.884018148074286,13.884018148074286,13.22946410798027
68,FIN,69,4.828501323150846,5.828501323150846,5.782189085482755
69,FJI,70,10.40270325783409,11.40270325783409,10.336249293849225
70,FLK,71,,,
71,FSM,72,,,
72,FRO,73,,,
73,FRA,74,5.215050546597697,6.215050546597697,5.219310799781639
74,GAB,75,12.163360674781387,13.163360674781387,12.297697324672555
75,GBR,76,4.044280749496619,5.044280749496619,5.3370635745979405
76,GRD,77,,,
77,GEO,78,9.183759836984738,10.183759836984738,9.120530426469474
78,GUF,79,,,
79,GGY,80,,,
80,GHA,81,14.478626397093816,15.478626397093816,14.55118282817807
81,GIB,82,,,
82,GRL,83,,,
83,GMB,84,9.809047919429432,10.809047919429432,9.81788667748597
84,GIN,85,13.98069254848528,14.98069254848528,14.119333941221104
85,GLP,86,,,
86,GNQ,87,,,
87,GRC,88,6.318159073914597,7.318159073914597,6.215691375471799
88,SGS,89,,,
89,GTM,90,7.633926281026545,8.633926281026545,7.490256568130739
90,GUM,91,,,
91,GNB,92,10.870745732215092,11.870745732215092,10.923171180988046
92,GUY,93,7.4243870412873605,8.42438704128736,7.243408733296597
93,HKG,94,,,
94,HMD,95,,,
95,HND,96,8.709676988922752,9.709676988922752,8.32130150698776
96,HRV,97,6.592643356925722,7.592643356925722,7.371673639188572
97,HTI,98,14.273833659057285,15.273833659057285,14.4832176880136
98,HUN,99,8.080951367665183,9.080951367665183,6.358915002273645
