Technology,Country,Country code,Year,WACC,,
Solar,India,IND,2019,8.4,,
Solar,India,IND,2021,7.7,,
Solar,Indonesia,IDN,2019,8,,
Solar,Indonesia,IDN,2021,7.2,,
Solar,Mexico,MEX,2019,9.6,,
Solar,Mexico,MEX,2021,8.9,,
Solar,South Africa,ZAF,2019,10.8,,
Solar,South Africa,ZAF,2021,10.1,,
Solar,India,IND,2019,9.6,,
Solar,India,IND,2021,9.6,,
Solar,Indonesia,IDN,2019,8.7,,
Solar,Indonesia,IDN,2021,8.7,,
Solar,South Africa,ZAF,2019,10.9,,
Solar,South Africa,ZAF,2021,10.9,,
Solar,Brazil,BRA,2019,12.25,,
Solar,India,IND,2019,9.5,,
