Technology,Country,Country code,Year,WACC,,
Solar,South Africa,ZAF,2021,13.5,,
Solar,Brazil,BRA,2019,7.3,,
Solar,Brazil,BRA,2021,6.6,,
Solar,India,IND,2019,7.7,,
Solar,India,IND,2021,7,,
Solar,Indonesia,IDN,2019,7.2,,
Solar,Indonesia,IDN,2021,6.5,,
Solar,Mexico,MEX,2019,8.9,,
Solar,Mexico,MEX,2021,8.1,,
Solar,South Africa,ZAF,2019,10.1,,
Solar,South Africa,ZAF,2021,9.4,,
Solar,India,IND,2019,6.8,,
Solar,India,IND,2021,6.8,,
Solar,Indonesia,IDN,2019,5.7,,
Solar,Indonesia,IDN,2021,5.7,,
Solar,South Africa,ZAF,2019,8,,
Solar,South Africa,ZAF,2021,8,,
Solar,Brazil,BRA,2019,9.7,,
Solar,Brazil,BRA,2021,8.7,,
Solar,India,IND,2019,10,,
Solar,India,IND,2021,10,,
Solar,Indonesia,IDN,2019,12.3,,
Solar,Indonesia,IDN,2021,12.3,,
