WEO Country Code,Country code,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
819,FJI,Fiji,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5992.792,6287.253,6574.521,6897.774,7230.18,7579.424,7936.74,2020
172,FIN,Finland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,54007.975,55126.995,56931.463,58889.344,61015.11,63230.003,65393.703,2023
132,FRA,France,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,46000.803,47358.557,48631.151,50143.044,51571.118,53040.148,54388.208,2022
646,GAB,Gabon,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9289.891,9307.875,9148.378,9094.964,9072.123,9093.172,9105.323,2015
648,GMB,The Gambia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,893.223,989.17,1071.564,1116.524,1145.004,1177.299,1230.043,2023
915,GEO,Georgia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8172.574,8825.411,9580.993,10340.697,11144.756,11875.604,12902.506,2023
134,DEU,Germany,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,52726.965,54290.944,56438.537,58471.507,60264.387,61964.994,63550.744,2023
652,GHA,Ghana,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2318.309,2229.904,2196.736,2284.684,2375.348,2471.209,2574.451,2022
174,GRC,Greece,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,22805.197,23965.779,24952.668,25909.598,26783.275,27693.171,28628.224,2022
328,GRD,Grenada,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11623.786,12254.599,12901.421,13518.451,14126.984,14763.332,15428.784,2021
258,GTM,Guatemala,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5368.885,5678.085,5971.242,6283.336,6615.301,6972.299,7348.849,2020
656,GIN,Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1529.46,1650.556,1722.243,1791.998,1871.039,1954.104,2028.491,2014
654,GNB,Guinea-Bissau,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1016.816,1087.487,1149.592,1213.43,1281.47,1347.568,1408.706,2017
336,GUY,Guyana,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,21472.271,26592.216,29650.421,34953.959,36069.224,37314.144,38677.243,2019
263,HTI,Haiti,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1761.086,1940.632,1939.887,1902.835,1873.309,1881.008,1915.761,2003
268,HND,Honduras,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3330.339,3504.502,3653.202,3801.905,3958.926,4121.976,4292.904,2022
532,HKG,Hong Kong SAR,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,50029.777,53606.486,56049.859,58524.952,61081.293,63741.272,66488.289,2021
944,HUN,Hungary,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,22146.885,23318.553,25128.052,26662.066,28304.791,30103.224,31966.095,2022
176,ISL,Iceland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,79998.436,84593.939,89380.353,94704.131,100520.558,106804.339,113418.214,2022
534,IND,India,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2500.356,2730.774,2983.507,3264.536,3573.342,3910.663,4281.196,2013
